id	abbrev	charge	formula	mass	name	deltaG
cpd00022_c0	cpd00022_c0	-4	C23H34N7O17P3S	0	Acetyl-CoA_c0	-785.83
cpd00054_c0	cpd00054_c0	0	C3H7NO3	0	L-Serine_c0	-124.15
cpd00010_c0	cpd00010_c0	-4	C21H32N7O16P3S	0	CoA_c0	-751.994
cpd00722_c0	cpd00722_c0	0	C5H9NO4	0	O-Acetyl-L-serine_c0	-161.6
cpd00002_c0	cpd00002_c0	-3	C10H13N5O13P3	0	ATP_c0	-673.85
cpd00046_c0	cpd00046_c0	-2	C9H12N3O8P	0	CMP_c0	-345.38
cpd00067_c0	cpd00067_c0	1	H	0	H+_c0	-9.53
cpd00008_c0	cpd00008_c0	-2	C10H13N5O10P2	0	ADP_c0	-465.85
cpd00096_c0	cpd00096_c0	-2	C9H13N3O11P2	0	CDP_c0	-553.38
cpd00001_c0	cpd00001_c0	0	H2O	0	H2O_c0	-56.687
cpd00658_c0	cpd00658_c0	-2	C10H8O6	0	Isochorismate_c0	-169.49
cpd00020_c0	cpd00020_c0	-1	C3H3O3	0	Pyruvate_c0	-112.69
cpd02566_c0	cpd02566_c0	-1	C7H7O4	0	2,3-Dihydroxy-2,3-dihydrobenzoate_c0	-125.71
cpd11440_c0	cpd11440_c0	-1	C16H31O2	0	fa6_c0	-64.07
cpd00012_c0	cpd00012_c0	-3	HO7P2	0	PPi_c0	-480.93
cpd00018_c0	cpd00018_c0	-2	C10H12N5O7P	0	AMP_c0	-257.85
cpd11441_c0	cpd11441_c0	-3	C37H63N7O17P3S	0	fa6coa_c0	-764.96
cpd00533_c0	cpd00533_c0	-2	C9H13N3O10P2	0	dCDP_c0	-513.54
cpd00356_c0	cpd00356_c0	-3	C9H13N3O13P3	0	dCTP_c0	-721.54
cpd00083_c0	cpd00083_c0	-2	C16H23N5O16P2	0	GDP-mannose_c0	-673.08
cpd00900_c0	cpd00900_c0	-2	C16H21N5O15P2	0	GDP-4-dehydro-D-rhamnose_c0	-630.29
cpd00137_c0	cpd00137_c0	-3	C6H5O7	0	Citrate_c0	-280.44
cpd00260_c0	cpd00260_c0	-3	C6H5O7	0	Isocitrate_c0	-279.02
cpd00521_c0	cpd00521_c0	-2	C16H22N2O15P2	0	dTDP-4-oxo-6-deoxy-D-glucose_c0	-680.33
cpd00522_c0	cpd00522_c0	-2	C16H22N2O15P2	0	dTDP-4-oxo-L-rhamnose_c0	-680.33
cpd00007_c0	cpd00007_c0	0	O2	0	O2_c0	3.9197
cpd00483_c0	cpd00483_c0	-1	C7H6NO3	0	3-Hydroxyanthranilate_c0	-88.47
cpd00025_c0	cpd00025_c0	0	H2O2	0	H2O2_c0	-32.05
cpd00532_c0	cpd00532_c0	-1	O2	0	O2-_c0	3.9197
cpd03351_c0	cpd03351_c0	-2	C14H6N2O6	0	Cinnavalininate_c0	-142.93
cpd00003_c0	cpd00003_c0	-1	C21H26N7O14P2	0	NAD_c0	-529.59
cpd08739_c0	cpd08739_c0	0	C10H16O	0	trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0	14.87
cpd00004_c0	cpd00004_c0	-2	C21H27N7O14P2	0	NADH_c0	-524.32
cpd08740_c0	cpd08740_c0	-1	C10H15O2	0	trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0	-37.83
cpd17042_c0	cpd17042_c0	0	null	0	DNA replication_c0	10000000
cpd11640_c0	cpd11640_c0	0	H2	0	H2_c0	4.2065
cpd15560_c0	cpd15560_c0	0	C49H74O4	0	Ubiquinone-8_c0	142.5
cpd00067_e0	cpd00067_e0	1	H	0	H+_e0	-9.53
cpd15561_c0	cpd15561_c0	0	C49H76O4	0	Ubiquinol-8_c0	120.8
cpd15688_c0	cpd15688_c0	-2	C44H79N3O15P2	0	CDP-1,2-diisohexadecanoylglycerol_c0	-641.22
cpd15694_c0	cpd15694_c0	-2	C38H72NO10P	0	Diisohexadecanoylphosphatidylserine_c0	-425.5
cpd11589_c0	cpd11589_c0	-1	C6H9N2O5	0	gly-asp-L_c0	-196.33
cpd00033_c0	cpd00033_c0	0	C2H5NO2	0	Glycine_c0	-87.73
cpd00041_c0	cpd00041_c0	-1	C4H6NO4	0	L-Aspartate_c0	-165.75
cpd02519_c0	cpd02519_c0	0	C4H12N3O4P	0	Guanidinoethyl methyl phosphate_c0	-228.77
cpd02744_c0	cpd02744_c0	-2	C4H11N3O7P2	0	N'-Phosphoguanidinoethyl methyl phosphate_c0	-425.31
cpd00029_c0	cpd00029_c0	-1	C2H3O2	0	Acetate_c0	-88.29
cpd00009_c0	cpd00009_c0	-2	HO4P	0	Phosphate_c0	-261.974
cpd00206_c0	cpd00206_c0	-2	C9H12N3O7P	0	dCMP_c0	-305.54
cpd00032_c0	cpd00032_c0	-2	C4H2O5	0	Oxaloacetate_c0	-190.52
cpd00068_c0	cpd00068_c0	-3	C10H12N4O14P3	0	ITP_c0	-729.58
cpd00011_c0	cpd00011_c0	0	CO2	0	CO2_c0	-92.26
cpd00061_c0	cpd00061_c0	-3	C3H2O6P	0	Phosphoenolpyruvate_c0	-316.08
cpd00090_c0	cpd00090_c0	-2	C10H12N4O11P2	0	IDP_c0	-521.58
cpd00070_c0	cpd00070_c0	-5	C24H33N7O19P3S	0	Malonyl-CoA_c0	-863.66
cpd02375_c0	cpd02375_c0	-4	C14H14N5O11P	0	Adenylosuccinate_c0	-408.89
cpd00106_c0	cpd00106_c0	-2	C4H2O4	0	Fumarate_c0	-143.7
cpd00052_c0	cpd00052_c0	-3	C9H13N3O14P3	0	CTP_c0	-761.38
cpd00084_c0	cpd00084_c0	0	C3H7NO2S	0	L-Cysteine_c0	-83.394
cpd02201_c0	cpd02201_c0	-3	C9H15NO8P	0	4-phosphopantothenate_c0	-401.04
cpd02666_c0	cpd02666_c0	-3	C12H20N2O9PS	0	(R)-4'-Phosphopantothenoyl-L-cysteine_c0	-427.284
cpd00026_c0	cpd00026_c0	-2	C15H22N2O17P2	0	UDP-glucose_c0	-762.55
cpd00144_c0	cpd00144_c0	-3	C15H19N2O18P2	0	UDPglucuronate_c0	-805.77
cpd00023_c0	cpd00023_c0	-1	C5H8NO4	0	L-Glutamate_c0	-164.13
cpd02097_c0	cpd02097_c0	-2	C5H8NO7P	0	L-Glutamyl 5-phosphate_c0	-379.03
cpd00477_c0	cpd00477_c0	-2	C7H9NO5	0	N-Acetyl-L-glutamate_c0	-193.73
cpd00006_c0	cpd00006_c0	-3	C21H25N7O17P3	0	NADP_c0	-742.09
cpd00199_c0	cpd00199_c0	-1	C4H5O3	0	4-Oxobutanoate_c0	-110.26
cpd00005_c0	cpd00005_c0	-4	C21H26N7O17P3	0	NADPH_c0	-736.82
cpd00036_c0	cpd00036_c0	-2	C4H4O4	0	Succinate_c0	-162.96
cpd00311_c0	cpd00311_c0	0	C10H13N5O5	0	Guanosine_c0	-95.8
cpd00013_c0	cpd00013_c0	1	H4N	0	NH3_c0	-18.97
cpd01217_c0	cpd01217_c0	0	C10H12N4O6	0	Xanthosine_c0	-151.93
cpd00024_c0	cpd00024_c0	-2	C5H4O5	0	2-Oxoglutarate_c0	-188.9
cpd00807_c0	cpd00807_c0	-1	C6H11N3O4P	0	L-histidinol-phosphate_c0	-214.91
cpd00930_c0	cpd00930_c0	-2	C6H7N2O5P	0	imidazole acetol-phosphate_c0	-242.14
cpd03246_c0	cpd03246_c0	-1	C26H44NO6S	0	Taurochenodeoxycholate_c0	-195.763
cpd00210_c0	cpd00210_c0	0	C2H7NO3S	0	Taurine_c0	-126.763
cpd01663_c0	cpd01663_c0	-1	C24H39O4	0	Chenodiol_c0	-126.15
cpd00080_c0	cpd00080_c0	-2	C3H7O6P	0	Glycerol-3-phosphate_c0	-328.68
cpd15686_c0	cpd15686_c0	-2	C42H75N3O15P2	0	CDP-1,2-diisopentadecanoylglycerol_c0	-644.46
cpd15719_c0	cpd15719_c0	-2	C36H70O13P2	0	Diisopentadecanoylphosphatidylglycerophosphate_c0	-632.26
cpd00056_c0	cpd00056_c0	-1	C12H17N4O7P2S	0	TPP_c0	-368.32
cpd00071_c0	cpd00071_c0	0	C2H4O	0	Acetaldehyde_c0	-33.4
cpd03049_c0	cpd03049_c0	-1	C14H21N4O8P2S	0	2-Hydroxyethyl-ThPP_c0	-405.15
cpd00017_c0	cpd00017_c0	1	C15H23N6O5S	0	S-Adenosyl-L-methionine_c0	-66.63
cpd08370_c0	cpd08370_c0	-6	C44H44CoN4O16	0	Cobalt-precorrin 4_c0	10000000
cpd00019_c0	cpd00019_c0	0	C14H20N6O5S	0	S-Adenosyl-homocysteine_c0	-76.11
cpd08371_c0	cpd08371_c0	-6	C45H46CoN4O16	0	Cobalt-precorrin 5_c0	10000000
cpd15682_c0	cpd15682_c0	-1	C35H68O8P	0	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate_c0	-361.84
cpd00113_c0	cpd00113_c0	-2	C5H10O7P2	0	Isopentenyldiphosphate_c0	-439.84
cpd00350_c0	cpd00350_c0	-2	C15H26O7P2	0	Farnesyldiphosphate_c0	-383
cpd00289_c0	cpd00289_c0	-2	C20H34O7P2	0	Geranylgeranyl diphosphate_c0	-354.91
cpd02498_c0	cpd02498_c0	-1	C5H9O4	0	2,3-Dihydroxy-isovalerate_c0	-161.2
cpd00123_c0	cpd00123_c0	-1	C5H7O3	0	3-Methyl-2-oxobutanoate_c0	-111.26
cpd00171_c0	cpd00171_c0	-2	C5H9O8P	0	D-Ribulose5-phosphate_c0	-393.5
cpd00047_c0	cpd00047_c0	-1	CHO2	0	Formate_c0	-83.9
cpd11225_c0	cpd11225_c0	-2	C4H7O6P	0	3-4-dihydroxy-2-butanone4-phosphate_c0	-320.85
cpd00342_c0	cpd00342_c0	0	C7H14N2O3	0	N-Acetylornithine_c0	-115.26
cpd00064_c0	cpd00064_c0	1	C5H13N2O2	0	Ornithine_c0	-85.66
cpd11421_c0	cpd11421_c0	0	C6H9NO2R2S2	0	trdrd_c0	10000000
cpd11420_c0	cpd11420_c0	0	C6H7NO2R2S2	0	trdox_c0	10000000
cpd02333_c0	cpd02333_c0	-2	C7H3NO4	0	Quinolinate_c0	-119.77
cpd00095_c0	cpd00095_c0	-2	C3H5O6P	0	Glycerone-phosphate_c0	-320.66
cpd03470_c0	cpd03470_c0	-2	C4H3NO4	0	Iminoaspartate_c0	-173.6
cpd15685_c0	cpd15685_c0	-2	C40H71N3O15P2	0	CDP-1,2-diisotetradecanoylglycerol_c0	-647.7
cpd15691_c0	cpd15691_c0	-2	C34H64NO10P	0	Diisotetradecanoylphosphatidylserine_c0	-431.98
cpd11585_e0	cpd11585_e0	0	C5H10N2O3	0	L-alanylglycine_e0	-118.5
cpd11585_c0	cpd11585_c0	0	C5H10N2O3	0	L-alanylglycine_c0	-118.5
cpd00162_c0	cpd00162_c0	1	C2H8NO	0	Aminoethanol_c0	-44.51
cpd00519_c0	cpd00519_c0	-5	C25H35N7O19P3S	0	D-methylmalonyl-CoA_c0	-863.85
cpd00086_c0	cpd00086_c0	-4	C24H36N7O17P3S	0	Propionyl-CoA_c0	-784.21
cpd04393_c0	cpd04393_c0	-1	C8H9O4	0	2-Hydroxy-6-oxo-octa-2,4-dienoate_c0	-108.85
cpd00141_c0	cpd00141_c0	-1	C3H5O2	0	Propionate_c0	-85.13
cpd00461_c0	cpd00461_c0	-1	C5H5O3	0	Oxopent-4-enoate_c0	-82.8
cpd11582_e0	cpd11582_e0	0	C7H14N2O4	0	ala-L-Thr-L_e0	-155.11
cpd11582_c0	cpd11582_c0	0	C7H14N2O4	0	ala-L-Thr-L_c0	-155.11
cpd11767_c0	cpd11767_c0	-3	C19H26N2O21P3R2	0	tRNA uridine_c0	10000000
cpd00147_c0	cpd00147_c0	0	C11H15N5O3S	0	5-Methylthioadenosine_c0	1.27
cpd12564_c0	cpd12564_c0	-4	C23H32N3O23P3R2	0	tRNA 3-(3-amino-3-carboxypropyl)-uridine_c0	10000000
cpd00012_e0	cpd00012_e0	-3	HO7P2	0	PPi_e0	-480.93
cpd00810_c0	cpd00810_c0	-3	C10H10N2O11P	0	Orotidylic acid_c0	-479.18
cpd00091_c0	cpd00091_c0	-2	C9H11N2O9P	0	UMP_c0	-397.77
cpd00258_c0	cpd00258_c0	0	C5H10O5	0	D-Ribulose_c0	-180.95
cpd08454_c0	cpd08454_c0	0	C21H24N2O3	0	16-Hydroxytabersonine_c0	10000000
cpd08486_c0	cpd08486_c0	0	C22H26N2O3	0	16-Methoxytabersonine_c0	10000000
cpd02654_c0	cpd02654_c0	-2	C6H8NO4PS	0	4-Methyl-5--2-phosphoethyl-thiazole_c0	-219.61
cpd02894_c0	cpd02894_c0	-2	C6H9N3O7P2	0	4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0	-412.04
cpd00793_c0	cpd00793_c0	-1	C12H16N4O4PS	0	Thiamine phosphate_c0	-160.32
cpd00118_c0	cpd00118_c0	2	C4H14N2	0	Putrescine_c0	-6.02
cpd00345_c0	cpd00345_c0	-2	C20H23N7O6	0	5-Methyltetrahydrofolate_c0	-101.7
cpd00125_c0	cpd00125_c0	-2	C20H21N7O6	0	5-10-Methylenetetrahydrofolate_c0	-93.65
cpd02738_c0	cpd02738_c0	-4	C30H35N9O12	0	5-Methyltetrahydropteroyltri-L-glutamate_c0	-315.66
cpd02555_c0	cpd02555_c0	-4	C29H33N9O12	0	Tetrahydropteroyltri-L-glutamate_c0	-327.93
cpd11586_e0	cpd11586_e0	-1	C8H13N2O5	0	ala-L-glu-L_e0	-194.9
cpd11586_c0	cpd11586_c0	-1	C8H13N2O5	0	ala-L-glu-L_c0	-194.9
cpd00307_c0	cpd00307_c0	0	C4H5N3O	0	Cytosine_c0	-8.68
cpd00092_c0	cpd00092_c0	0	C4H4N2O2	0	Uracil_c0	-61.07
cpd02210_c0	cpd02210_c0	-2	C11H12NO6P	0	Indoleglycerol phosphate_c0	-267.57
cpd00102_c0	cpd00102_c0	-2	C3H5O6P	0	Glyceraldehyde3-phosphate_c0	-319.2
cpd00359_c0	cpd00359_c0	0	C8H7N	0	indol_c0	54.41
cpd00330_c0	cpd00330_c0	-2	C19H19N7O6	0	Dihydrofolate_c0	-109.12
cpd02046_c0	cpd02046_c0	-2	C20H19N7O7	0	10-Formyldihydrofolate_c0	-139.92
cpd12225_c0	cpd12225_c0	0	CH3RS2	0	Dihydrolipolprotein_c0	10000000
cpd12005_c0	cpd12005_c0	0	CHRS2	0	Lipoylprotein_c0	10000000
cpd15605_c0	cpd15605_c0	0	C11H14N2O3	0	Gly-Phe_c0	10000000
cpd00066_c0	cpd00066_c0	0	C9H11NO2	0	L-Phenylalanine_c0	-51.05
cpd01977_c0	cpd01977_c0	-2	C4H6NO7P	0	4-Phospho-L-aspartate_c0	-380.65
cpd00129_e0	cpd00129_e0	0	C5H9NO2	0	L-Proline_e0	-62.54
cpd00971_e0	cpd00971_e0	1	Na	0	Na+_e0	10000000
cpd00129_c0	cpd00129_c0	0	C5H9NO2	0	L-Proline_c0	-62.54
cpd00971_c0	cpd00971_c0	1	Na	0	Na+_c0	10000000
cpd15523_c0	cpd15523_c0	-1	C31H56O8P	0	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate_c0	-319.98
cpd15422_c0	cpd15422_c0	-2	C40H67N3O15P2	0	CDP-1,2-ditetradec-7-enoylglycerol_c0	-599.36
cpd00493_c0	cpd00493_c0	-1	C8H12N2O5P	0	Pyridoxamine phosphate_c0	-244.68
cpd00016_c0	cpd00016_c0	-2	C8H8NO6P	0	Pyridoxal phosphate_c0	-272
cpd00446_c0	cpd00446_c0	-1	C10H11N5O6P	0	cAMP_c0	-191.87
cpd11464_c0	cpd11464_c0	-2	C15H28N2O8PRS	0	Butyryl-ACP_c0	10000000
cpd11492_c0	cpd11492_c0	-2	C14H24N2O10PRS	0	Malonyl-acyl-carrierprotein-_c0	10000000
cpd11486_c0	cpd11486_c0	-2	C17H30N2O9PRS	0	3-Oxohexanoyl-[acp]_c0	10000000
cpd11493_c0	cpd11493_c0	-2	C11H22N2O7PRS	0	ACP_c0	10000000
cpd03333_c0	cpd03333_c0	0	C11H12O4	0	Sinapaldehyde_c0	-68.71
cpd00373_c0	cpd00373_c0	-1	C11H11O5	0	Sinapate_c0	-121.41
cpd00268_c0	cpd00268_c0	-1	HO3S2	0	H2S2O3_c0	-122.7
cpd00081_c0	cpd00081_c0	-1	HO3S	0	Sulfite_c0	-126.15
cpd00053_c0	cpd00053_c0	0	C5H10N2O3	0	L-Glutamine_c0	-121.69
cpd00132_c0	cpd00132_c0	0	C4H8N2O3	0	L-Asparagine_c0	-123.31
cpd00232_c0	cpd00232_c0	-1	C11H18NO9	0	Neu5Ac_c0	-326.4
cpd00112_c0	cpd00112_c0	-2	C20H29N4O16P	0	CMP-N-acetylneuraminate_c0	-610.28
cpd15423_c0	cpd15423_c0	-2	C40H71N3O15P2	0	CDP-1,2-ditetradecanoylglycerol_c0	-644.08
cpd15553_c0	cpd15553_c0	-2	C34H64NO10P	0	phosphatidylserine ditetradecanoyl_c0	-428.36
cpd00635_e0	cpd00635_e0	2	C62H91CoN13O14P	0	Cbl_e0	10000000
cpd00635_c0	cpd00635_c0	2	C62H91CoN13O14P	0	Cbl_c0	10000000
cpd15418_c0	cpd15418_c0	-2	C44H75N3O15P2	0	CDP-1,2-dihexadec-9-enoylglycerol_c0	-592.88
cpd15556_c0	cpd15556_c0	-2	C38H68NO10P	0	phosphatidylserine dihexadec-9-enoyl_c0	-377.16
cpd01646_c0	cpd01646_c0	-2	C7H10O5	0	2-Isopropylmalate_c0	-201.18
cpd00242_c0	cpd00242_c0	-1	CHO3	0	H2CO3_c0	-140.26
cpd12848_c0	cpd12848_c0	0	C17H27N5O4R2S	0	Holo-[carboxylase]_c0	10000000
cpd12543_c0	cpd12543_c0	-1	C18H26N5O6R2S	0	Carboxybiotin-carboxyl-carrier protein_c0	10000000
cpd00239_c0	cpd00239_c0	-1	HS	0	H2S_c0	-6.66
cpd12390_c0	cpd12390_c0	0	C6H8N2O2R2	0	Peptidylproline (omega=180)_c0	10000000
cpd12358_c0	cpd12358_c0	0	C6H8N2O2R2	0	Peptidylproline (omega=0)_c0	10000000
cpd00383_c0	cpd00383_c0	-1	C7H9O5	0	Shikimate_c0	-171.29
cpd02030_c0	cpd02030_c0	-3	C7H8O8P	0	3-phosphoshikimate_c0	-383.79
cpd00219_c0	cpd00219_c0	-2	C10H8O6	0	Prephenate_c0	-186.17
cpd00868_c0	cpd00868_c0	-1	C9H7O4	0	p-hydroxyphenylpyruvate_c0	-115.3
cpd00038_c0	cpd00038_c0	-3	C10H13N5O14P3	0	GTP_c0	-724.3
cpd00485_c0	cpd00485_c0	-2	C6H11O9P	0	D-Mannose1-phosphate_c0	-430.78
cpd00035_c0	cpd00035_c0	0	C3H7NO2	0	L-Alanine_c0	-87.92
cpd00100_c0	cpd00100_c0	0	C3H8O3	0	Glycerol_c0	-116.18
cpd00157_c0	cpd00157_c0	0	C3H6O3	0	Glycerone_c0	-108.16
cpd15500_c0	cpd15500_c0	0	C51H72O2	0	Menaquinone 8_c0	206.06
cpd15499_c0	cpd15499_c0	0	C51H74O2	0	Menaquinol 8_c0	180.271
cpd02574_c0	cpd02574_c0	-2	C6H11O7PS	0	methylthioribose-1-phosphate_c0	-347.5
cpd02791_c0	cpd02791_c0	-2	C6H11O7PS	0	methylthioribulose-1-phosphate_c0	-346.88
cpd02547_c0	cpd02547_c0	-1	C3H9NO4P	0	(R)-1-Aminopropan-2-yl phosphate_c0	-257.2
cpd03917_c0	cpd03917_c0	3	C55H79CoN15O11	0	Adenosylcobyric acid_c0	10000000
cpd03919_c0	cpd03919_c0	2	C58H86CoN16O14P	0	Adenosyl cobinamide phosphate_c0	10000000
cpd00652_c0	cpd00652_c0	-2	C6H8O8	0	D-Mucic acid_c0	-311.88
cpd00515_c0	cpd00515_c0	-2	C6H6O7	0	5-Dehydro-4-deoxy-D-glucarate_c0	-263.36
cpd01620_c0	cpd01620_c0	-7	C42H41N4O16	0	Precorrin 2_c0	10000000
cpd03420_c0	cpd03420_c0	-7	C43H43N4O16	0	Precorrin 3A_c0	10000000
cpd00689_c0	cpd00689_c0	-1	C10H13N2O4	0	Porphobilinogen_c0	-118.18
cpd00755_c0	cpd00755_c0	-8	C40H38N4O17	0	Hydroxymethylbilane_c0	-479.5
cpd00196_c0	cpd00196_c0	-2	C2H3O5P	0	Acetylphosphate_c0	-301.65
cpd11472_c0	cpd11472_c0	-2	C17H31N2O8PRS	0	Hexanoyl-ACP_c0	10000000
cpd11490_c0	cpd11490_c0	-2	C19H34N2O9PRS	0	3-oxooctanoyl-acp_c0	10000000
cpd15529_c0	cpd15529_c0	0	C33H66NO8P	0	phosphatidylethanolamine ditetradecanoyl_c0	-347.71
cpd00655_c0	cpd00655_c0	-2	C21H33N7O13P2S	0	Dephospho-CoA_c0	-539.494
cpd01775_c0	cpd01775_c0	-5	C15H20N5O20P4	0	Phosphoribosyl-ATP_c0	-1015.22
cpd00103_c0	cpd00103_c0	-4	C5H9O14P3	0	PRPP_c0	-814.62
cpd00858_c0	cpd00858_c0	0	C5H9NO3	0	L-Glutamate5-semialdehyde_c0	-111.43
cpd02431_c0	cpd02431_c0	-1	C5H6NO2	0	1-Pyrroline-5-carboxylate_c0	-59.27
cpd00498_c0	cpd00498_c0	-1	C6H9O4	0	2-Aceto-2-hydroxybutanoate_c0	-151.56
cpd10162_c0	cpd10162_c0	-1	C6H9O4	0	(R)-3-Hydroxy-3-methyl-2-oxopentanoate_c0	-149.1
cpd15352_c0	cpd15352_c0	0	C50H70O2	0	2-Demethylmenaquinone 8_c0	206.47
cpd15353_c0	cpd15353_c0	0	C50H72O2	0	2-Demethylmenaquinol 8_c0	181.901
cpd00203_c0	cpd00203_c0	-4	C3H4O10P2	0	1,3-Bisphospho-D-glycerate_c0	-586.8
