VarName;VarType;VarCompartment;VarMin;VarMax
rxn00423_c0;FLUX;c;0;669.159
rxn00364_c0;FORWARD_FLUX;c;0.000882681;0.00914673
rxn00364_c0;REVERSE_FLUX;c;0;0
rxn02177_c0;FLUX;c;0;0
rxn05250_c0;FLUX;c;0;0
rxn01673_c0;FORWARD_FLUX;c;0;0
rxn01673_c0;REVERSE_FLUX;c;0;0.000948846
rxn00642_c0;FLUX;c;0;0
rxn00973_c0;FORWARD_FLUX;c;0;1000
rxn00973_c0;REVERSE_FLUX;c;0;1000
rxn02000_c0;FORWARD_FLUX;c;0.000129204;0.00129204
rxn02000_c0;REVERSE_FLUX;c;0;0
rxn11962_c0;FORWARD_FLUX;c;0;0
rxn11962_c0;REVERSE_FLUX;c;0;0
rxn04271_c0;FORWARD_FLUX;c;0;0
rxn04271_c0;REVERSE_FLUX;c;0;0
rxn13783_c0;FLUX;c;0.00516598;0.0516598
rxn10118_c0;FLUX;c;0.111658;2.41511
rxn10231_c0;FLUX;c;0;0
rxn12637_c0;FORWARD_FLUX;c;0;0
rxn12637_c0;REVERSE_FLUX;c;0;0
rxn03046_c0;FORWARD_FLUX;c;0;0
rxn03046_c0;REVERSE_FLUX;c;0;0
rxn00172_c0;FORWARD_FLUX;c;0;1000
rxn00172_c0;REVERSE_FLUX;c;0;999.897
rxn01219_c0;FORWARD_FLUX;c;0;0
rxn01219_c0;REVERSE_FLUX;c;0;0.000948846
rxn00519_c0;FORWARD_FLUX;c;0;999.973
rxn00519_c0;REVERSE_FLUX;c;0;1000
rxn00258_c0;FORWARD_FLUX;c;0;0
rxn00258_c0;REVERSE_FLUX;c;0.0133234;0.133234
rxn00800_c0;FORWARD_FLUX;c;0.00201964;0.0201964
rxn00800_c0;REVERSE_FLUX;c;0;0
rxn09177_c0;FLUX;c;0;0.000319926
rxn00211_c0;FORWARD_FLUX;c;0;0
rxn00211_c0;REVERSE_FLUX;c;0;0
rxn00179_c0;FORWARD_FLUX;c;0;0.360952
rxn00179_c0;REVERSE_FLUX;c;0;0
rxn00192_c0;FLUX;c;0;0
rxn00509_c0;FLUX;c;0;0
rxn01547_c0;FORWARD_FLUX;c;0;0
rxn01547_c0;REVERSE_FLUX;c;0;0
rxn02320_c0;FORWARD_FLUX;c;0;0
rxn02320_c0;REVERSE_FLUX;c;0.000409474;0.00409474
rxn02796_c0;FORWARD_FLUX;c;0;0
rxn02796_c0;REVERSE_FLUX;c;0;0
rxn10262_c0;FORWARD_FLUX;c;0;0
