COMPOUNDS
ENTRY;DATABASE ID;NAME;FORMULA;COMPARTMENT;Lower DRAIN_FLUX bound;Upper DRAIN_FLUX bound;Min DRAIN_FLUX;Max DRAIN_FLUX
1;cpd00022_c0;cpd00022_c0;C23H34N7O17P3S;c;1e+07;1e+07;1e+07;1e+07
2;cpd00054_c0;cpd00054_c0;C3H7NO3;c;1e+07;1e+07;1e+07;1e+07
3;cpd00010_c0;cpd00010_c0;C21H32N7O16P3S;c;1e+07;1e+07;1e+07;1e+07
4;cpd00722_c0;cpd00722_c0;C5H9NO4;c;1e+07;1e+07;1e+07;1e+07
5;cpd00002_c0;cpd00002_c0;C10H13N5O13P3;c;1e+07;1e+07;1e+07;1e+07
6;cpd00046_c0;cpd00046_c0;C9H12N3O8P;c;1e+07;1e+07;1e+07;1e+07
7;cpd00067_c0;cpd00067_c0;H;c;1e+07;1e+07;1e+07;1e+07
8;cpd00008_c0;cpd00008_c0;C10H13N5O10P2;c;1e+07;1e+07;1e+07;1e+07
9;cpd00096_c0;cpd00096_c0;C9H13N3O11P2;c;1e+07;1e+07;1e+07;1e+07
10;cpd00001_c0;cpd00001_c0;H2O;c;1e+07;1e+07;1e+07;1e+07
11;cpd00658_c0;cpd00658_c0;C10H8O6;c;1e+07;1e+07;1e+07;1e+07
12;cpd00020_c0;cpd00020_c0;C3H3O3;c;1e+07;1e+07;1e+07;1e+07
13;cpd02566_c0;cpd02566_c0;C7H7O4;c;1e+07;1e+07;1e+07;1e+07
14;cpd11440_c0;cpd11440_c0;C16H31O2;c;1e+07;1e+07;1e+07;1e+07
15;cpd00012_c0;cpd00012_c0;HO7P2;c;1e+07;1e+07;1e+07;1e+07
16;cpd00018_c0;cpd00018_c0;C10H12N5O7P;c;1e+07;1e+07;1e+07;1e+07
17;cpd11441_c0;cpd11441_c0;C37H63N7O17P3S;c;1e+07;1e+07;1e+07;1e+07
18;cpd00533_c0;cpd00533_c0;C9H13N3O10P2;c;1e+07;1e+07;1e+07;1e+07
19;cpd00356_c0;cpd00356_c0;C9H13N3O13P3;c;1e+07;1e+07;1e+07;1e+07
20;cpd00083_c0;cpd00083_c0;C16H23N5O16P2;c;1e+07;1e+07;1e+07;1e+07
21;cpd00900_c0;cpd00900_c0;C16H21N5O15P2;c;1e+07;1e+07;1e+07;1e+07
22;cpd00137_c0;cpd00137_c0;C6H5O7;c;1e+07;1e+07;1e+07;1e+07
23;cpd00260_c0;cpd00260_c0;C6H5O7;c;1e+07;1e+07;1e+07;1e+07
24;cpd00521_c0;cpd00521_c0;C16H22N2O15P2;c;1e+07;1e+07;1e+07;1e+07
