REACTIONS
LOAD;DIRECTIONALITY;COMPARTMENT;ASSOCIATED PEG;COMPLEXES
rxn00423_c0;=>;c;kb___g.186.peg.1784;kb___g.186.peg.1784
rxn00364_c0;<=>;c;kb___g.186.peg.615;kb___g.186.peg.615
rxn02177_c0;=>;c;(kb___g.186.peg.1925 or kb___g.186.peg.3430);kb___g.186.peg.1925=kb___g.186.peg.3430
rxn05250_c0;=>;c;(kb___g.186.peg.740 or kb___g.186.peg.706 or kb___g.186.peg.2605);kb___g.186.peg.740=kb___g.186.peg.706=kb___g.186.peg.2605
rxn01673_c0;<=>;c;kb___g.186.peg.195;kb___g.186.peg.195
rxn00642_c0;=>;c;(kb___g.186.peg.554 or kb___g.186.peg.652);kb___g.186.peg.554=kb___g.186.peg.652
rxn00973_c0;<=>;c;(Unknown and Unknown and Unknown and kb___g.186.peg.1967 and Unknown);kb___g.186.peg.1967
rxn02000_c0;<=>;c;(kb___g.186.peg.2316 or kb___g.186.peg.972);kb___g.186.peg.2316=kb___g.186.peg.972
rxn11962_c0;<=>;c;(kb___g.186.peg.4339 or kb___g.186.peg.3871);kb___g.186.peg.4339=kb___g.186.peg.3871
rxn04271_c0;<=>;c;kb___g.186.peg.3754;kb___g.186.peg.3754
rxn13783_c0;=>;c;((kb___g.186.peg.1384 or kb___g.186.peg.954) and Unknown and Unknown and kb___g.186.peg.3846 and Unknown and Unknown and Unknown and kb___g.186.peg.3888 and kb___g.186.peg.1933 and Unknown and kb___g.186.peg.857 and kb___g.186.peg.871 and Unknown and Unknown and Unknown and Unknown and Unknown and kb___g.186.peg.3578 and kb___g.186.peg.3706 and Unknown and Unknown and Unknown and Unknown);kb___g.186.peg.1384=kb___g.186.peg.954+kb___g.186.peg.3846+kb___g.186.peg.3888+kb___g.186.peg.1933+kb___g.186.peg.857+kb___g.186.peg.871+kb___g.186.peg.3578+kb___g.186.peg.3706
rxn10118_c0;=>;c;(Unknown and kb___g.186.peg.3331 and kb___g.186.peg.4503 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown);kb___g.186.peg.3331+kb___g.186.peg.4503
rxn10231_c0;=>;c;kb___g.186.peg.633;kb___g.186.peg.633
rxn12637_c0;<=>;c;(kb___g.186.peg.1089 or kb___g.186.peg.153 or kb___g.186.peg.1877);kb___g.186.peg.1089&kb___g.186.peg.153&kb___g.186.peg.1877
rxn03046_c0;<=>;c;kb___g.186.peg.4459;kb___g.186.peg.4459
rxn00172_c0;<=>;c;kb___g.186.peg.2558;kb___g.186.peg.2558
rxn01219_c0;<=>;c;kb___g.186.peg.615;kb___g.186.peg.615
rxn00519_c0;<=>;c;kb___g.186.peg.318;kb___g.186.peg.318
rxn00258_c0;<=>;c;kb___g.186.peg.3803;kb___g.186.peg.3803
rxn00800_c0;<=>;c;(kb___g.186.peg.3558 or kb___g.186.peg.3558);kb___g.186.peg.3558&kb___g.186.peg.3558
rxn09177_c0;=>;c;kb___g.186.peg.318;kb___g.186.peg.318
rxn00211_c0;<=>;c;kb___g.186.peg.3414;kb___g.186.peg.3414
