id	abbrev	deltaG	deltaGErr	equation	name	reversibility	status	thermoReversibility
bio1_cpd00069_c0	bio1	0	-0.120676604606612	(0.0001) cpd00001_c0 => (0.0001) cpd00069_c0	bio1	=>	OK	=>
bio1_cpd00028_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00028_c0	bio1	=>	OK	=>
bio1_cpd17042_c0	bio1	0	-1	=> (0.0001) cpd17042_c0	bio1	=>	OK	=>
bio1_cpd00023_c0	bio1	0	-0.219088153012743	(0.0001) cpd00001_c0 => (0.0001) cpd00023_c0	bio1	=>	OK	=>
bio1_cpd00087_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00087_c0	bio1	=>	OK	=>
bio1_cpd15696_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15696_c0	bio1	=>	OK	=>
bio1_cpd00084_c0	bio1	0	-0.0761464922056484	(0.0001) cpd00001_c0 => (0.0001) cpd00084_c0	bio1	=>	OK	=>
bio1_cpd00052_c0	bio1	0	-0.0841036156544863	(0.0001) cpd00012_c0 => (0.0001) cpd00052_c0	bio1	=>	OK	=>
bio1_cpd00107_c0	bio1	0	-0.375388847540127	(0.0001) cpd00001_c0 => (0.0001) cpd00107_c0	bio1	=>	OK	=>
bio1_cpd00220_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00220_c0	bio1	=>	OK	=>
bio1_cpd15432_c0	bio1	0	-0.0250105977108944	=> (0.0001) cpd15432_c0	bio1	=>	OK	=>
bio1_cpd00041_c0	bio1	0	-0.200830806928348	(0.0001) cpd00001_c0 => (0.0001) cpd00041_c0	bio1	=>	OK	=>
bio1_cpd00048_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00048_c0	bio1	=>	OK	=>
bio1_cpd00056_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00056_c0	bio1	=>	OK	=>
bio1_cpd00156_c0	bio1	0	-0.352233189091625	(0.0001) cpd00001_c0 => (0.0001) cpd00156_c0	bio1	=>	OK	=>
bio1_cpd00132_c0	bio1	0	-0.200830806928348	(0.0001) cpd00001_c0 => (0.0001) cpd00132_c0	bio1	=>	OK	=>
bio1_cpd15695_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15695_c0	bio1	=>	OK	=>
bio1_cpd00062_c0	bio1	0	-0.0908319049068452	(0.0001) cpd00012_c0 => (0.0001) cpd00062_c0	bio1	=>	OK	=>
bio1_cpd10516_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd10516_c0	bio1	=>	OK	=>
bio1_cpd15793_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15793_c0	bio1	=>	OK	=>
bio1_cpd15540_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15540_c0	bio1	=>	OK	=>
bio1_cpd15723_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15723_c0	bio1	=>	OK	=>
bio1_cpd00039_c0	bio1	0	-0.285438020490179	(0.0001) cpd00001_c0 => (0.0001) cpd00039_c0	bio1	=>	OK	=>
bio1_cpd15500_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd15500_c0	bio1	=>	OK	=>
bio1_cpd00017_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00017_c0	bio1	=>	OK	=>
bio1_cpd00356_c0	bio1	0	-0.0136765654197375	(0.0001) cpd00012_c0 => (0.0001) cpd00356_c0	bio1	=>	OK	=>
bio1_cpd00201_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00201_c0	bio1	=>	OK	=>
bio1_cpd15665_c0	bio1	0	-0.0250105977108944	(0.0001) cpd15666_c0 => (0.0001) cpd15665_c0	bio1	=>	OK	=>
bio1_cpd10515_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd10515_c0	bio1	=>	OK	=>
bio1_cpd00042_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00042_c0	bio1	=>	OK	=>
bio1_cpd00357_c0	bio1	0	-0.0183672023512866	(0.0001) cpd00012_c0 => (0.0001) cpd00357_c0	bio1	=>	OK	=>
bio1_cpd00066_c0	bio1	0	-0.154519490031345	(0.0001) cpd00001_c0 => (0.0001) cpd00066_c0	bio1	=>	OK	=>
bio1_cpd00119_c0	bio1	0	-0.0792636000737159	(0.0001) cpd00001_c0 => (0.0001) cpd00119_c0	bio1	=>	OK	=>
bio1_cpd00118_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00118_c0	bio1	=>	OK	=>
bio1_cpd00003_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00003_c0	bio1	=>	OK	=>
bio1_cpd00115_c0	bio1	0	-0.0183672023512866	(0.0001) cpd00012_c0 => (0.0001) cpd00115_c0	bio1	=>	OK	=>
bio1_cpd15722_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15722_c0	bio1	=>	OK	=>
bio1_cpd00015_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00015_c0	bio1	=>	OK	=>
bio1_cpd00557_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00557_c0	bio1	=>	OK	=>
bio1_cpd00038_c0	bio1	0	-0.135406821203723	(0.0001) cpd00012_c0 => (0.0001) cpd00038_c0	bio1	=>	OK	=>
bio1_cpd00002_c0	bio1	0	-40.1101757365074	(0.0001) cpd00012_c0 => (0.0001) cpd00002_c0	bio1	=>	OK	=>
bio1_cpd17041_c0	bio1	0	-1	=> (0.0001) cpd17041_c0	bio1	=>	OK	=>
bio1_cpd00345_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00345_c0	bio1	=>	OK	=>
bio1_cpd00166_c0	bio1	0	-0.00309646685192537	(0.0001) cpd01997_c0 + (0.0001) cpd03422_c0 => (0.0001) cpd00166_c0	bio1	=>	OK	=>
bio1_cpd00006_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00006_c0	bio1	=>	OK	=>
bio1_cpd00060_c0	bio1	0	-0.127801422590767	(0.0001) cpd00001_c0 => (0.0001) cpd00060_c0	bio1	=>	OK	=>
bio1_cpd17043_c0	bio1	0	-1	=> (0.0001) cpd17043_c0	bio1	=>	OK	=>
bio1_cpd00161_c0	bio1	0	-0.211072732780569	(0.0001) cpd00001_c0 => (0.0001) cpd00161_c0	bio1	=>	OK	=>
bio1_cpd00016_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00016_c0	bio1	=>	OK	=>
bio1_cpd00129_c0	bio1	0	-0.184354665339991	(0.0001) cpd00001_c0 => (0.0001) cpd00129_c0	bio1	=>	OK	=>
