Variable index;Variable type;Variable ID;Variable name;Variable data;Upper bound;Lower bound;Max;Min
1;FLUX;rxn00423_c0;rxn00423_c0;cpd00022_c0 + cpd00054_c0 => cpd00010_c0 + cpd00722_c0;1000;0;669.159;0
2;FORWARD_FLUX;rxn00364_c0;rxn00364_c0;cpd00002_c0 + cpd00046_c0 + cpd00067_c0 <=> cpd00008_c0 + cpd00096_c0;1000;0;0.00914673;0.000882681
3;REVERSE_FLUX;rxn00364_c0;rxn00364_c0;cpd00002_c0 + cpd00046_c0 + cpd00067_c0 <=> cpd00008_c0 + cpd00096_c0;1000;0;0;0
4;FLUX;rxn02177_c0;rxn02177_c0;cpd00001_c0 + cpd00658_c0 => cpd00020_c0 + cpd02566_c0;1000;0;0;0
5;FLUX;rxn05250_c0;rxn05250_c0;cpd00010_c0 + cpd00002_c0 + cpd11440_c0 => cpd00012_c0 + cpd00018_c0 + cpd11441_c0;1000;0;0;0
6;FORWARD_FLUX;rxn01673_c0;rxn01673_c0;cpd00002_c0 + cpd00533_c0 <=> cpd00008_c0 + cpd00356_c0;1000;0;0;0
7;REVERSE_FLUX;rxn01673_c0;rxn01673_c0;cpd00002_c0 + cpd00533_c0 <=> cpd00008_c0 + cpd00356_c0;1000;0;0.000948846;0
8;FLUX;rxn00642_c0;rxn00642_c0;cpd00083_c0 => cpd00001_c0 + cpd00900_c0;1000;0;0;0
9;FORWARD_FLUX;rxn00973_c0;rxn00973_c0;cpd00137_c0 <=> cpd00260_c0;1000;0;1000;0
10;REVERSE_FLUX;rxn00973_c0;rxn00973_c0;cpd00137_c0 <=> cpd00260_c0;1000;0;1000;0
11;FORWARD_FLUX;rxn02000_c0;rxn02000_c0;cpd00521_c0 <=> cpd00522_c0;1000;0;0.00129204;0.000129204
12;REVERSE_FLUX;rxn02000_c0;rxn02000_c0;cpd00521_c0 <=> cpd00522_c0;1000;0;0;0
13;FORWARD_FLUX;rxn11962_c0;rxn11962_c0;4 cpd00007_c0 + 2 cpd00483_c0 <=> 2 cpd00067_c0 + 2 cpd00025_c0 + 2 cpd00532_c0 + cpd03351_c0;1000;0;0;0
14;REVERSE_FLUX;rxn11962_c0;rxn11962_c0;4 cpd00007_c0 + 2 cpd00483_c0 <=> 2 cpd00067_c0 + 2 cpd00025_c0 + 2 cpd00532_c0 + cpd03351_c0;1000;0;0;0
15;FORWARD_FLUX;rxn04271_c0;rxn04271_c0;cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> 2 cpd00067_c0 + cpd00004_c0 + cpd08740_c0;1000;0;0;0
16;REVERSE_FLUX;rxn04271_c0;rxn04271_c0;cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> 2 cpd00067_c0 + cpd00004_c0 + cpd08740_c0;1000;0;0;0
17;FLUX;rxn13783_c0;rxn13783_c0; => cpd17042_c0;1000;0;0.0516598;0.00516598
18;FLUX;rxn10118_c0;rxn10118_c0;2 cpd00067_c0 + cpd11640_c0 + cpd15560_c0 => 2 cpd00067_e0[e] + cpd15561_c0;1000;0;2.41511;0.111658
19;FLUX;rxn10231_c0;rxn10231_c0;cpd00054_c0 + cpd15688_c0 => cpd00046_c0 + 2 cpd00067_c0 + cpd15694_c0;1000;0;0;0
20;FORWARD_FLUX;rxn12637_c0;rxn12637_c0;cpd00001_c0 + cpd11589_c0 <=> cpd00033_c0 + cpd00041_c0;1000;0;0;0
21;REVERSE_FLUX;rxn12637_c0;rxn12637_c0;cpd00001_c0 + cpd11589_c0 <=> cpd00033_c0 + cpd00041_c0;1000;0;0;0
22;FORWARD_FLUX;rxn03046_c0;rxn03046_c0;cpd00002_c0 + cpd02519_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd02744_c0;1000;0;0;0
23;REVERSE_FLUX;rxn03046_c0;rxn03046_c0;cpd00002_c0 + cpd02519_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd02744_c0;1000;0;0;0
24;FORWARD_FLUX;rxn00172_c0;rxn00172_c0;cpd00010_c0 + cpd00002_c0 + cpd00029_c0 <=> cpd00022_c0 + cpd00008_c0 + cpd00009_c0;1000;0;1000;0
25;REVERSE_FLUX;rxn00172_c0;rxn00172_c0;cpd00010_c0 + cpd00002_c0 + cpd00029_c0 <=> cpd00022_c0 + cpd00008_c0 + cpd00009_c0;1000;0;999.897;0
26;FORWARD_FLUX;rxn01219_c0;rxn01219_c0;cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0;1000;0;0;0
27;REVERSE_FLUX;rxn01219_c0;rxn01219_c0;cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0;1000;0;0.000948846;0
28;FORWARD_FLUX;rxn00519_c0;rxn00519_c0;cpd00032_c0 + cpd00068_c0 <=> cpd00011_c0 + cpd00061_c0 + cpd00090_c0;1000;0;999.973;0
29;REVERSE_FLUX;rxn00519_c0;rxn00519_c0;cpd00032_c0 + cpd00068_c0 <=> cpd00011_c0 + cpd00061_c0 + cpd00090_c0;1000;0;1000;0
30;FORWARD_FLUX;rxn00258_c0;rxn00258_c0;cpd00020_c0 + cpd00070_c0 <=> cpd00022_c0 + cpd00032_c0;1000;0;0;0
31;REVERSE_FLUX;rxn00258_c0;rxn00258_c0;cpd00020_c0 + cpd00070_c0 <=> cpd00022_c0 + cpd00032_c0;1000;0;0.133234;0.0133234
32;FORWARD_FLUX;rxn00800_c0;rxn00800_c0;cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0;1000;0;0.0201964;0.00201964
33;REVERSE_FLUX;rxn00800_c0;rxn00800_c0;cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0;1000;0;0;0
34;FLUX;rxn09177_c0;rxn09177_c0;cpd00052_c0 + cpd00084_c0 + cpd02201_c0 => cpd00046_c0 + 2 cpd00067_c0 + cpd00012_c0 + cpd02666_c0;1000;0;0.000319926;0
35;FORWARD_FLUX;rxn00211_c0;rxn00211_c0;cpd00001_c0 + 2 cpd00003_c0 + cpd00026_c0 <=> 3 cpd00067_c0 + 2 cpd00004_c0 + cpd00144_c0;1000;0;0;0
36;REVERSE_FLUX;rxn00211_c0;rxn00211_c0;cpd00001_c0 + 2 cpd00003_c0 + cpd00026_c0 <=> 3 cpd00067_c0 + 2 cpd00004_c0 + cpd00144_c0;1000;0;0;0
37;FORWARD_FLUX;rxn00179_c0;rxn00179_c0;cpd00002_c0 + cpd00023_c0 <=> cpd00008_c0 + cpd02097_c0;1000;0;0.360952;0
38;REVERSE_FLUX;rxn00179_c0;rxn00179_c0;cpd00002_c0 + cpd00023_c0 <=> cpd00008_c0 + cpd02097_c0;1000;0;6.31089e-30;0
39;FLUX;rxn00192_c0;rxn00192_c0;cpd00022_c0 + cpd00023_c0 => cpd00010_c0 + cpd00067_c0 + cpd00477_c0;1000;0;0;0
40;FLUX;rxn00509_c0;rxn00509_c0;cpd00001_c0 + cpd00006_c0 + cpd00199_c0 => 2 cpd00067_c0 + cpd00005_c0 + cpd00036_c0;1000;0;0;0
41;FORWARD_FLUX;rxn01547_c0;rxn01547_c0;cpd00067_c0 + cpd00001_c0 + cpd00311_c0 <=> cpd00013_c0 + cpd01217_c0;1000;0;0;0
42;REVERSE_FLUX;rxn01547_c0;rxn01547_c0;cpd00067_c0 + cpd00001_c0 + cpd00311_c0 <=> cpd00013_c0 + cpd01217_c0;1000;0;0;0
43;FORWARD_FLUX;rxn02320_c0;rxn02320_c0;cpd00024_c0 + cpd00807_c0 <=> cpd00023_c0 + cpd00930_c0;1000;0;0;0
44;REVERSE_FLUX;rxn02320_c0;rxn02320_c0;cpd00024_c0 + cpd00807_c0 <=> cpd00023_c0 + cpd00930_c0;1000;0;0.00409474;0.000409474
45;FORWARD_FLUX;rxn02796_c0;rxn02796_c0;cpd00001_c0 + cpd03246_c0 <=> cpd00210_c0 + cpd01663_c0;1000;0;0;0
46;REVERSE_FLUX;rxn02796_c0;rxn02796_c0;cpd00001_c0 + cpd03246_c0 <=> cpd00210_c0 + cpd01663_c0;1000;0;0;0
47;FORWARD_FLUX;rxn10262_c0;rxn10262_c0;cpd00080_c0 + cpd15686_c0 <=> cpd00046_c0 + cpd15719_c0;1000;0;0;0
48;REVERSE_FLUX;rxn10262_c0;rxn10262_c0;cpd00080_c0 + cpd15686_c0 <=> cpd00046_c0 + cpd15719_c0;1000;0;0;0
49;FORWARD_FLUX;rxn00544_c0;rxn00544_c0;cpd00056_c0 + cpd00071_c0 <=> cpd03049_c0;1000;0;0.0592012;0
50;REVERSE_FLUX;rxn00544_c0;rxn00544_c0;cpd00056_c0 + cpd00071_c0 <=> cpd03049_c0;1000;0;999.994;0
51;FORWARD_FLUX;rxn04048_c0;rxn04048_c0;cpd00017_c0 + cpd08370_c0 <=> cpd00067_c0 + cpd00019_c0 + cpd08371_c0;1000;0;0;0
52;REVERSE_FLUX;rxn04048_c0;rxn04048_c0;cpd00017_c0 + cpd08370_c0 <=> cpd00067_c0 + cpd00019_c0 + cpd08371_c0;1000;0;0;0
53;FORWARD_FLUX;rxn10225_c0;rxn10225_c0;cpd00052_c0 + cpd15682_c0 <=> cpd00067_c0 + cpd00012_c0 + cpd15688_c0;1000;0;0;0
54;REVERSE_FLUX;rxn10225_c0;rxn10225_c0;cpd00052_c0 + cpd15682_c0 <=> cpd00067_c0 + cpd00012_c0 + cpd15688_c0;1000;0;0;0
55;FLUX;rxn01486_c0;rxn01486_c0;cpd00113_c0 + cpd00350_c0 => cpd00067_c0 + cpd00012_c0 + cpd00289_c0;1000;0;0;0
56;FLUX;rxn00898_c0;rxn00898_c0;cpd02498_c0 => cpd00001_c0 + cpd00123_c0;1000;0;0.0423093;0.00423093
57;FLUX;rxn05040_c0;rxn05040_c0;cpd00171_c0 => cpd00067_c0 + cpd00047_c0 + cpd11225_c0;1000;0;0.000639851;6.39851e-05
58;FORWARD_FLUX;rxn01636_c0;rxn01636_c0;cpd00023_c0 + cpd00342_c0 <=> cpd00477_c0 + cpd00064_c0;1000;0;0.362259;0.00130642
59;REVERSE_FLUX;rxn01636_c0;rxn01636_c0;cpd00023_c0 + cpd00342_c0 <=> cpd00477_c0 + cpd00064_c0;1000;0;0;0
60;FLUX;rxn05235_c0;rxn05235_c0;cpd00052_c0 + cpd11421_c0 => cpd00001_c0 + cpd00356_c0 + cpd11420_c0;1000;0;0.00165537;7.06528e-05
61;REVERSE_FLUX;rxn02988_c0;rxn02988_c0;2 cpd00001_c0 + cpd00009_c0 + cpd02333_c0 <= cpd00095_c0 + cpd03470_c0;1000;0;0.000319926;3.19926e-05
62;FLUX;rxn10228_c0;rxn10228_c0;cpd00054_c0 + cpd15685_c0 => cpd00046_c0 + 2 cpd00067_c0 + cpd15691_c0;1000;0;0;0
63;FLUX;rxn05542_c0;rxn05542_c0;cpd00002_c0 + cpd00001_c0 + cpd11585_e0[e] => cpd00067_c0 + cpd00008_c0 + cpd00009_c0 + cpd11585_c0;1000;0;0;0
64;FLUX;rxn00539_c0;rxn00539_c0;cpd00162_c0 => cpd00013_c0 + cpd00071_c0;1000;0;0;0
65;FORWARD_FLUX;rxn00678_c0;rxn00678_c0;cpd00020_c0 + cpd00519_c0 <=> cpd00032_c0 + cpd00086_c0;1000;0;0;0
66;REVERSE_FLUX;rxn00678_c0;rxn00678_c0;cpd00020_c0 + cpd00519_c0 <=> cpd00032_c0 + cpd00086_c0;1000;0;0;0
67;FORWARD_FLUX;rxn03667_c0;rxn03667_c0;cpd00001_c0 + cpd04393_c0 <=> cpd00067_c0 + cpd00141_c0 + cpd00461_c0;1000;0;0;0
68;REVERSE_FLUX;rxn03667_c0;rxn03667_c0;cpd00001_c0 + cpd04393_c0 <=> cpd00067_c0 + cpd00141_c0 + cpd00461_c0;1000;0;0;0
69;FLUX;rxn00001_c0;rxn00001_c0;cpd00001_c0 + cpd00012_c0 => cpd00067_c0 + 2 cpd00009_c0;1000;0;1000;0
70;FLUX;rxn05545_c0;rxn05545_c0;cpd00002_c0 + cpd00001_c0 + cpd11582_e0[e] => cpd00067_c0 + cpd00008_c0 + cpd00009_c0 + cpd11582_c0;1000;0;0;0
71;FORWARD_FLUX;rxn06297_c0;rxn06297_c0;cpd00017_c0 + cpd11767_c0 <=> 2 cpd00067_c0 + cpd00147_c0 + cpd12564_c0;1000;0;0;0
72;REVERSE_FLUX;rxn06297_c0;rxn06297_c0;cpd00017_c0 + cpd11767_c0 <=> 2 cpd00067_c0 + cpd00147_c0 + cpd12564_c0;1000;0;0;0
73;REVERSE_FLUX;rxn11268_c0;rxn11268_c0;cpd00067_e0[e] + cpd00012_e0[e] <= cpd00067_c0 + cpd00012_c0;1000;0;3.9979;0
74;FLUX;rxn00710_c0;rxn00710_c0;cpd00067_c0 + cpd00810_c0 => cpd00011_c0 + cpd00091_c0;1000;0;0.0106925;0.00106925
75;FORWARD_FLUX;rxn01114_c0;rxn01114_c0;cpd00002_c0 + cpd00258_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00171_c0;1000;0;601.477;0.00046253
76;REVERSE_FLUX;rxn01114_c0;rxn01114_c0;cpd00002_c0 + cpd00258_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00171_c0;1000;0;0;0
77;FORWARD_FLUX;rxn04114_c0;rxn04114_c0;cpd00017_c0 + cpd08454_c0 <=> cpd00067_c0 + cpd00019_c0 + cpd08486_c0;1000;0;0;0
78;REVERSE_FLUX;rxn04114_c0;rxn04114_c0;cpd00017_c0 + cpd08454_c0 <=> cpd00067_c0 + cpd00019_c0 + cpd08486_c0;1000;0;0;0
79;FORWARD_FLUX;rxn02305_c0;rxn02305_c0;cpd02654_c0 + cpd02894_c0 <=> cpd00012_c0 + cpd00793_c0;1000;0;0.000159963;1.59963e-05
80;REVERSE_FLUX;rxn02305_c0;rxn02305_c0;cpd02654_c0 + cpd02894_c0 <=> cpd00012_c0 + cpd00793_c0;1000;0;0;0
81;FLUX;rxn00470_c0;rxn00470_c0;cpd00067_c0 + cpd00064_c0 => cpd00011_c0 + cpd00118_c0;1000;0;0.000319926;3.19926e-05
82;FORWARD_FLUX;rxn00910_c0;rxn00910_c0;cpd00006_c0 + cpd00345_c0 <=> cpd00067_c0 + cpd00005_c0 + cpd00125_c0;1000;0;999.999;0
83;REVERSE_FLUX;rxn00910_c0;rxn00910_c0;cpd00006_c0 + cpd00345_c0 <=> cpd00067_c0 + cpd00005_c0 + cpd00125_c0;1000;0;1000;0
84;REVERSE_FLUX;rxn11944_c0;rxn11944_c0;cpd00067_c0 + cpd00019_c0 + cpd02738_c0 <= cpd00017_c0 + cpd02555_c0;1000;0;601.477;0.000754165
85;FLUX;rxn05541_c0;rxn05541_c0;cpd00002_c0 + cpd00001_c0 + cpd11586_e0[e] => cpd00067_c0 + cpd00008_c0 + cpd00009_c0 + cpd11586_c0;1000;0;0;0
86;FLUX;rxn00717_c0;rxn00717_c0;cpd00067_c0 + cpd00001_c0 + cpd00307_c0 => cpd00013_c0 + cpd00092_c0;1000;0;0;0
